Categories,Exercise,Exercise Instructions (step by step),Exercise Tips,Primary Activating Muscles,Secondary Activating Muscles,Equipment
Bodyweight,Crunch (straight leg up),"1. Begin by lying flat on your back with your legs extended straight up towards the ceiling. Keep your feet together, and your arms extended straight above your chest.
2. Engage your core and lift your shoulder blades off the floor, reaching your arms towards your toes.
3. Hold the crunch position briefly, squeezing your abdominal muscles at the top.
4. Lower your shoulder blades back to the floor with control, keeping your legs extended upward. Repeat the movement for the desired number of repetitions.","1. Avoid using your neck or momentum to lift your shoulders; focus on using your abdominal muscles.
2. Use a mat or soft surface to support your back and prevent discomfort during the exercise.
3. Breathe steadily throughout the exercise, exhaling as you lift your shoulders and inhaling as you lower them.
4. Ensure your lower back remains pressed into the floor to avoid unnecessary strain.
",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques",None
Bodyweight,Crunch floor,"1. Begin by lying flat on your back with your knees bent and your feet flat on the floor, hip-width apart.
2. Place your hands behind your head with your elbows pointing out to the sides.
3. Engage your core and lift your shoulder blades off the floor, curling your upper body towards your knees.
4. Lower your shoulder blades back to the floor with control, maintaining your core engagement. Repeat the movement for the desired number of repetitions.","1. Avoid pulling on your neck with your hands; focus on using your abdominal muscles to lift your shoulders.
2. Perform the movement with control to maximize muscle activation and prevent injury.
3. Breathe steadily throughout the exercise, exhaling as you lift your shoulders and inhaling as you lower them.
4. Ensure your lower back remains pressed into the floor to avoid unnecessary strain.",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (External Obliques, Internal Obliques)",None
Bodyweight,Crunch frog on floor,"1. Begin seated on the floor, leaning back slightly. Your arms should be extended out to the sides at shoulder level, and your legs should be extended straight and parallel just above the floor.
2. Engage your core to simultaneously bring both knees towards your chest while lightly crunching your upper body towards your knees.
3. As you crunch, bring your arms together towards the sides of your knees.
4. Extend your legs back out and open your arms back to the starting position with control. Repeat the movement for the desired number of repetitions.","1. Focus on using your abdominal muscles to lift your legs and upper body, avoiding excessive use of momentum.
2. Ensure your lower back remains stable and avoid arching it during the movement.
3. Breathe steadily throughout the exercise, exhaling as you crunch and inhaling as you extend back out.",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (External Obliques, Internal Obliques)",None
Bodyweight,Crunch leg raise,"1. Begin by lying flat on your back with your knees bent and your feet just off the floor.
2. Place your hands behind your head with your elbows pointing out to the sides.
3. Engage your core and lift your shoulder blades off the floor while simultaneously lifting your legs slightly to bring your knees towards your head.
4. Lower your back to the floor and your legs back to the starting position, keeping your feet just off the floor. Repeat the movement for the desired number of repetitions.","1. Avoid using your neck or momentum to lift your shoulders; focus on using your abdominal muscles.
2. Use a mat or soft surface to support your back and prevent discomfort during the exercise.
3. Breathe steadily throughout the exercise, exhaling as you lift your shoulders and knees, and inhaling as you lower them.",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (External Obliques, Internal Obliques)",None
Free Weights,Crunch with medicine ball,"1. Lie on your back with your knees bent and feet flat on the floor, hip-width apart. Hold a medicine ball with both hands, keeping your arms extended straight above your chest.
2. Lift your upper back off the floor by contracting your abdominal muscles.
3. Raise the medicine ball towards the ceiling as you perform the crunch, keeping your arms straight. Pause for a moment at the top of the movement, squeezing your abs.
4. Slowly lower your upper body back to the starting position, keeping control of the movement. Repeat for the desired number of repetitions.","1. Avoid using your neck muscles to lift your head; focus on using your abdominal muscles.
2. Ensure your feet remain flat on the floor and your knees stay bent at a consistent angle.
3. Keep the movement slow and controlled to maximize muscle engagement and prevent injury.
4. Use a medicine ball with an appropriate weight that allows you to maintain proper form.
",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (Internal and External Obliques)",None
Bodyweight,Curtsy lunge bodyweight,"1. Begin by standing with your feet hip-width apart and your hands on your hips or by your sides.
2. Step your right leg behind and across your left leg, bending both knees to lower into a curtsy lunge. Your front knee should be aligned with your front ankle.
3. Push through your left heel to return to the starting position.
4. Repeat the movement on the opposite side, stepping your left leg behind and across your right leg. Continue alternating sides for the desired number of repetitions.","1. Keep your torso upright throughout the exercise to maintain balance and proper form.
2. Ensure your front knee does not extend beyond your toes to protect your knees from strain.
3. Focus on pushing through your heel as you return to the starting position to engage your glutes.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Inner Thighs (Adductors)",None (Bodyweight)
Bodyweight,Curtsy lunge slide with towel,"1. Begin by standing with your feet hip-width apart and place a towel under your right foot.
2. Slide your right foot behind and across your left leg, bending both knees to lower into a curtsy lunge. Your front knee should be aligned with your front ankle.
3. Push through your left heel to return to the starting position, sliding your right foot back to the original position.
4. Complete the desired number of repetitions on one side, then switch the towel to the other foot and repeat the movement with the opposite leg.","1. Perform the movement with control to maximize muscle activation and prevent injury.
2. Ensure your front knee does not extend beyond your toes to protect your knees from strain.
3. Focus on pushing through your heel as you return to the starting position to engage your glutes.
4. Use a smooth surface to ensure the towel slides easily and reduces friction.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Inner Thighs (Adductors)",None (Bodyweight)
Resistance,Curtsy lunges Resistance band,"1. Stand with your feet shoulder-width apart and place a resistance band under your left foot. Hold the handles of the band with both hands either at shoulder height or by your abdomane sides.
2. Step your right leg behind and across your left leg, while bending both knees to lower into a lunge.
3. Push through your left heel to return to the starting position, bringing your right leg back to the starting position.
4. Repeat for the desired number of repetitions, then switch sides to work the other leg.","1. Keep your chest up and your back straight to maintain proper form.
2. Perform the movement slowly and with control to maximize muscle activation and reduce injury risk.
3. Exhale as you push back to the starting position and inhale as you lower into the lunge.","Glutes (gluteus maximus, gluteus mideus)","Quadriceps (Quadriceps Femoris), Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus)",Resistance Band
Bodyweight,Curtsy squat,"1. Begin by standing with your feet hip-width apart and your hands on your hips or by your sides.
2. Step your right leg behind and across your left leg, bending both knees to lower into a curtsy squat. Your front knee should be aligned with your front ankle, and your back knee should point towards the floor.
3. Push through your left heel to return to the starting position.
4. Repeat the movement on the opposite side, stepping your left leg behind and across your right leg. Continue alternating sides for the desired number of repetitions.","1. Perform the movement with control to maximize muscle activation and prevent injury.
2. Ensure your front knee does not extend beyond your toes to protect your knees from strain.
3. Focus on pushing through your heel as you return to the starting position to engage your glutes.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Inner Thighs (Adductors)",None (Bodyweight)
Bodyweight,Dead bug,"1. Begin by lying flat on your back with your arms extended straight up towards the ceiling and your legs lifted with your knees bent at a 90-degree angle.
2. Engage your core and slowly lower your right arm and left leg towards the floor, keeping your back flat on the floor and not allowing it to arch.
3. Return your right arm and left leg to the starting position.
4. Repeat the movement with your left arm and right leg. Continue alternating sides for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain stability and support your lower back. 
2. Avoid letting your leg touch the floor; keep it just above the floor to maintain tension in your muscles.
3. Ensure your lower back remains pressed into the floor to avoid unnecessary strain.
",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (External Obliques, Internal Obliques)",None
Bodyweight,Dead bug extended arms,"1. Begin by lying flat on your back, right arm extended overhead on the floor in line with your torso and left arm extended by your side. Right knee bent close to your chest, while the left leg is bent and lightly extended away from your hips level, keeping both lower legs parallel to the floor.
2. In a semi circular motion bring your right arm to your side while slowly extending your right leg to pass your hip level and simultaneously bring your left arm in a semi circular motion extended overhead on the floor in line with your torso and your left knee closer to your chest.
3. Repeat the movement with the opposite arm and leg, lowering the arm extended by your side and the opposite leg. Continue alternating sides for the desired number of repetitions.","1. Breathe steadily throughout the exercise, exhaling as you lower your arm and leg and inhaling as you return to the starting position.
2. Avoid letting your leg touch the floor; keep it just above the floor to maintain tension in your muscles.
3. Use a mat or soft surface to support your back and prevent discomfort during the exercise.",Abdominals (Rectus Abdominis),"Hip Flexors (Iliopsoas), Obliques (External Obliques, Internal Obliques)",None
Bodyweight,Dead hang stretch,"1. Begin by standing under a pull-up bar or a similar overhead bar.
2. Reach up and grasp the bar with both hands, palms facing forward (overhand grip), and your hands shoulder-width apart.
3. Allow your body to hang freely with your feet off the floor, keeping your arms fully extended and your shoulders relaxed.
4. Hold this position for the desired duration, focusing on deep breathing and maintaining a relaxed grip.","1. Keep your shoulders relaxed and avoid shrugging them towards your ears.
2. Focus on deep, steady breaths to enhance the stretch and promote relaxation.
3. Use a bar that is high enough to allow your body to hang freely without touching the floor.
4. If you find it challenging to maintain the grip, use chalk to prevent slipping.
5. Ensure the bar and your grip are secure to avoid any accidents during the stretch.","Lower Back (Erector Spinae), Back (Latissimus Dorsi), Shoulders (Deltoids)","Forearms (Flexor Muscles), Chest (Pectoralis Major)",Yoga Mat
Bodyweight,Decline bench full sit up,"1. Begin by lying on a decline bench with your feet secured under the footpads.
2. Place your hands behind your head with your elbows pointing out to the sides.
3. Engage your core and lift your upper body towards your knees and stop until a few inches away.
4. Lower your upper body back to the starting position with control. Repeat the movement for the desired number of repetitions.","1. Avoid pulling on your neck with your hands; focus on using your abdominal muscles to lift your shoulders.
2. Perform the movement with control to maximize muscle activation and prevent injury.
3. Breathe steadily throughout the exercise, exhaling as you lift your shoulders and inhaling as you lower them.",Abdominals (Rectus Abdominis),Hip Flexors (Iliopsoas),None
Free Weights,Decline bench oblique crunches,"1. Secure your feet at the end of a decline bench, lie back with your knees slightly bent, and cross your hands close to your chest.
2. Engage your core and lift your upper body off the bench while twisting your torso to the right.
3. Squeeze your obliques at the top of the movement, ensuring that the contraction is felt along the side of your abdomen.
4. Slowly lower your upper body back to the starting position and repeat the movement, this time twisting your torso to the left. Continue alternating sides for the desired number of repetitions.","1. Breathe out as you twist and crunch, and breathe in as you return to the starting position.
2. Ensure your lower back stays in contact with the bench to support your spine.
3. Keep your feet securely anchored to the bench to stabilize your body throughout the exercise.",Obliques (Internal and External Obliques),"Abdominals (Rectus Abdominis), Hip Flexors (Iliopsoas)",Dumbbells
,decline bench oblique crunches bodyweight,,,,,
Free Weights,Decline bench oblique crunches dumbbells,"1. Secure your feet at the end of a decline bench and lie back with your knees slightly bent. Hold a dumbbell in each hand close to your chest.
2. Engage your core and lift your upper body off the bench by contracting your abdominal muscles, while simultaneously twisting your torso to the right.
3. Squeeze your obliques at the top of the movement, ensuring that the contraction is felt along the side of your abdomen.
4. Slowly lower your upper body back to the starting position and repeat the movement, this time twisting your torso to the left. Continue alternating sides for the desired number of repetitions.","1. Breathe out as you twist and crunch, and breathe in as you return to the starting position.
2. Ensure your lower back stays in contact with the bench to support your spine.
3. Use a weight that challenges you but allows you to maintain proper form.
4. Keep your feet securely anchored to the bench to stabilize your body throughout the exercise.",Obliques (Internal and External Obliques),"Biceps (Biceps Brachii), Abdominals (Rectus Abdominis), Hip Flexors (Iliopsoas)",Dumbbells
Bodyweight,Decline bent leg reverse crunch,"1. Begin by lying on a decline bench with your head at the higher end and place your hands on the side edges of the bench for stability. Bend your knees at 90 degrees and lift your legs so your thighs are perpendicular to the bench and your lower legs are parallel to the floor.
2. Engage your core and lift your hips off the bench, curling your knees towards your chest while keeping both legs bent.
3. Lower your hips back to the starting position with control, keeping your knees bent at 90 degrees. Repeat the movement for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain stability and support your lower back.
2. Avoid using momentum to lift your hips; focus on using your abdominal muscles for the movement.
3. Breathe steadily throughout the exercise, exhaling as you lift your hips and inhaling as you lower them.
",Abdominals (Rectus Abdominis),Hip Flexors (Iliopsoas),None
Bodyweight,Decline chair push up diamond,"1. Begin by placing your feet on a chair and positioning your hands on the floor close together, forming a diamond shape with your thumbs and index fingers.
2. Engage your core and ensure your body forms a straight line from your head to your heels.
3. Lower your chest towards your hands by bending your elbows, keeping them close to your body.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain a straight body line and avoid sagging your hips.
2. Ensure your hands are positioned directly under your chest when you lower yourself.
3. Use a stable chair or bench to prevent any movement or slipping during the exercise.
4. Breathe steadily throughout the exercise, exhaling as you push up and inhaling as you lower down.
5. Avoid flaring your elbows out to the sides; keep them close to your body to engage your triceps more effectively.","Chest (Pectoralis Major), Triceps (Triceps Brachii)",Shoulders (Deltoids),Chair
Bodyweight,Decline diamond pike push-up,"1. Begin by placing your feet on a bench and positioning your hands on the floor close together, forming a diamond shape with your thumbs and index fingers. Hips raised towards the ceiling.
2. Engage your core and ensure your body forms an inverted V shape with your legs and torso.
3. Lower your head towards your hands by bending your elbows, keeping them close to your body.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain stability and control.
2. Ensure your hips stay raised and your legs remain straight to maintain the pike position.
3. Perform the movement with control to maximize muscle activation and prevent injury.
4. Breathe steadily throughout the exercise, exhaling as you push up and inhaling as you lower down.","Shoulders (Deltoids), Triceps (Triceps Brachii)",Chest (Pectoralis Major),None
Bodyweight,Decline kneeling push up,"1. Begin by placing your knees on a step up and position your hands on the floor shoulder-width apart.
2. Engage your chest and ensure your body forms a straight line from your head to your knees.
3. Lower your chest towards the floor by bending your elbows, keeping them at a 45-degree angle to your body.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Avoid flaring your elbows out to the sides; keep them at a 45-degree angle to engage your chest and triceps more effectively.
2. Perform the movement with control to maximize muscle activation and prevent injury.
3. Breathe steadily throughout the exercise, exhaling as you push up and inhaling as you lower down.","Chest (Pectoralis Major), Triceps (Triceps Brachii)",Shoulders (Deltoids),None
Bodyweight,Decline kneeling push up on box,"1. Begin by placing your knees on a box and position your hands on the floor shoulder-width apart.
2. Engage your chest and ensure your body forms a straight line from your head to your knees.
3. Lower your chest towards the floor by bending your elbows, keeping them at a 45-degree angle to your body.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Avoid flaring your elbows out to the sides; keep them at a 45-degree angle to engage your chest and triceps more effectively.
2. Perform the movement with control to maximize muscle activation and prevent injury.
3. Breathe steadily throughout the exercise, exhaling as you push up and inhaling as you lower down.","Chest (Pectoralis Major), Triceps (Triceps Brachii)",Shoulders (Deltoids),None
Bodyweight,Decline levitating sit ups bodyweight,"1. Begin by lying on a decline bench with your feet secured under the footpads. Position your torso so it is parallel to the floor, 'levitating' off the bench.
2. Place your hands behind your head with your elbows pointing out to the sides.
3. Engage your core and lift your upper body towards your knees, keeping your back straight and avoiding pulling on your neck.
4. Lower your upper body back to the starting position with control, maintaining the parallel position. Repeat the movement for the desired number of repetitions.","1. Breathe steadily throughout the exercise, exhaling as you lift your shoulders and inhaling as you lower them.
2. Ensure your lower back remains off the bench and parallel to the floor to engage your core muscles effectively.
3. Use a stable decline bench to prevent any movement or slipping during the exercise.",Abdominals (Rectus Abdominis),Hip Flexors (Iliopsoas),None
Bodyweight,Decline push up,"1. Begin by placing your feet on a bench and position your hands on the floor shoulder-width apart.
2. Engage your core and ensure your body forms a straight line from your head to your heels.
3. Lower your chest towards the floor by bending your elbows, keeping them at a 45-degree angle to your body.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain a straight body line and avoid sagging your hips.
2. Use a stable chair or bench to prevent any movement or slipping during the exercise.
3. Perform the movement with control to maximize muscle activation and prevent injury.","Chest (Pectoralis Major), Triceps (Triceps Brachii)",Shoulders (Deltoids),None
Bodyweight,Decline push up against wall,"1. Begin by placing your feet against a wall and positioning your hands on the floor shoulder-width apart. Your body should be in a decline position with your feet elevated on the wall.
2. Engage your core and ensure your body forms a straight line from your head to your feet.
3. Lower your chest towards the floor by bending your elbows, keeping them at a 45-degree angle to your body.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Ensure your hands are positioned directly under your shoulders when you lower yourself.
2. Perform the movement with control to maximize muscle activation and prevent injury.
3. Breathe steadily throughout the exercise, exhaling as you push up and inhaling as you lower down.
4. Use a stable wall to ensure your feet remain securely in place throughout the exercise.
","Chest (Pectoralis Major), Triceps (Triceps Brachii)",Shoulders (Deltoids),None
Bodyweight,Decline shoulder tap,"1. Begin by placing your feet on a bench and positioning your hands on the floor shoulder-width apart. Your body should be in a decline position with your feet elevated.
2. Engage your core and ensure your body forms a straight line from your head to your heels.
3. Lift your right hand off the floor and tap your left shoulder, lightly rotate your hips according to the tap side.
4. Return your right hand to the floor and repeat the movement with your left hand, tapping your right shoulder. Continue alternating for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain a straight body line and avoid sagging your hips.
2. Avoid letting your shoulders sag; keep them stable and aligned with your hands.
3. Use a stable bench to prevent any movement or slipping during the exercise.
","Shoulders (Deltoids), Chest (Pectoralis Major)","Triceps (Triceps Brachii), Core Muscles (Rectus Abdominis, Obliques)",None
Bodyweight,Decline sit up,"1. Begin by lying on a decline bench with your feet secured under the footpads. Position yourself so that your hips are at the edge of the bench.
2. Place your hands behind your head with your elbows pointing out to the sides.
3. Engage your core and lift your upper body towards your knees until your torso forms a 90 degree angle with your thighs, keeping your back as straight as possible.
4. Lower your upper body back to the starting position with control. Repeat the movement for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain stability and support your lower back.
2. Avoid pulling on your neck with your hands; focus on using your abdominal muscles to lift your shoulders.
3. Breathe steadily throughout the exercise, exhaling as you lift your shoulders and inhaling as you lower them.",Abdominals (Rectus Abdominis),Hip Flexors (Iliopsoas),None
Free Weights,Decline sit ups dumbbells,"1. Secure your feet at the end of a decline bench and lie back with your knees slightly bent. Hold a dumbbell in each hand close to your chest.
2. Engage your core and lift your upper body off the bench by contracting your abdominal muscles.
3. Continue to lift your upper body until you are in a seated position, ensuring that the contraction is felt in your abs.
4. Slowly lower your upper body back to the starting position with control, keeping your core engaged. Repeat for the desired number of repetitions.","1. Focus on using your abdominal muscles to lift your body, rather than relying on momentum.
2. Breathe out as you sit up and breathe in as you return to the starting position.
3. Keep your feet securely anchored to the bench to stabilize your body throughout the exercise.
",Abdominals (Rectus Abdominis),"Biceps (Biceps Brachii), Hip Flexors (Iliopsoas)",Dumbbells
Bodyweight,Deep push-up,"1. Begin in a plank position with your hands holding dumbbells on the floor, slightly wider than shoulder-width apart. Your feet should be on the floor, forming a straight line from your head to your heels.
2. Engage your core and ensure your body forms a straight line from your head to your heels.
3. Lower your chest towards the floor by bending your elbows, allowing your chest to go deeper than your hands.
4. Push through your hands to return to the starting position, straightening your arms. Repeat the movement for the desired number of repetitions.","1. Keep your core engaged throughout the exercise to maintain a straight body line and avoid sagging your hips.
2. Breathe steadily throughout the exercise, exhaling as you push up and inhaling as you lower down.
3. Perform the movement with control to maximize muscle activation and prevent injury.
","Chest (Pectoralis Major), Shoulders (Deltoids)",Triceps (Triceps Brachii),None
Resistance,Diagonal chop cable,"1. Anchor one end of the band at chest height. Stand with your right side facing the anchor point, with your feet shoulder-width apart, and grasp the handle with both hands. Extend your arms to hold the handle opposite your chest.
2. Pull the handle down and diagonally across your body, twisting your torso and pivoting your back foot to follow through. Bring the handle down towards the left side.
3. Slowly return to the starting position with control. 
4. Repeat for the desired number of repetitions, then switch sides to work in the opposite direction","1. Perform the movement slowly and with control to maximize muscle activation and reduce injury risk.
2. Exhale as you pull the handle down and across your body, and inhale as you return to the starting position.
3. Use a lighter weight if needed to ensure proper form and gradually increase the resistance as you get stronger.",Abdominals (Obliques),"Shoulders (Deltoids), Core (Rectus Abdominis), Hip Flexors",None
Bodyweight,Diagonal chop left,"1. Start standing with your feet shoulder-width apart, clasping your hands together and holding them extended opposite your chest.
2. Rotate your torso and simultaneously bring your hands diagonally across your body towards your left hip, bending your knees slightly as you turn.
3. Keep your arms extended and pivot your right foot as you rotate to protect your knee from strain.
4. Return to the starting position in a controlled manner, bringing your hands back opposite your chest.","1. Engage your core throughout the movement to stabilize your spine and enhance power.
2. Pivot on your feet during the rotation to ensure a full range of motion and to reduce stress on your knees.
3. Focus on exhaling as you chop down and inhaling as you return to the starting position.
4. Maintain a slight bend in your knees throughout the exercise to aid in balance and prevent strain on your joints.","Obliques (External Oblique, Internal Oblique)","Shoulders (Deltoids), Arms (Triceps Brachii)",None
Bodyweight,Diagonal chop right ,"1. Start standing with your feet shoulder-width apart, clasping your hands together and holding them extended oposite your chest.
2. Rotate your torso and simultaneously bring your hands diagonally across your body towards your right hip, bending your knees slightly as you turn.
3. Keep your arms extended and pivot your right foot as you rotate to protect your knee from strain.
4. Return to the starting position in a controlled manner, bringing your hands back opposite your chest.","1. Engage your core throughout the movement to stabilize your spine and enhance power.
2. Pivot on your feet during the rotation to ensure a full range of motion and to reduce stress on your knees.
3. Focus on exhaling as you chop down and inhaling as you return to the starting position.
4. Maintain a slight bend in your knees throughout the exercise to aid in balance and prevent strain on your joints.","Obliques (External Oblique, Internal Oblique)","Shoulders (Deltoids), Arms (Triceps Brachii)",None
Bodyweight,Diagonal lunge,"1. Stand with your feet together, arms extended outwards at shoulder level.
2. Step diagonally forward with your right foot, planting it at a 45-degree angle. As you lower into a lunge, rotate your torso to the right and lean down to touch your right foot with your left hand, keeping your left leg straight.
3. Press through your right heel and rotate back to center as you return to the starting position.
4. Repeat the movement with your left leg, stepping diagonally forward, rotating left, and touching your left foot with your right hand.
","1. Maintain your arms extended at shoulder level throughout the exercise to help with balance and increase the workout intensity.
2. Rotate your torso smoothly and keep your movements controlled to avoid any jerky motions that might cause injury.
3. Ensure that your lunging knee does not extend past your toes to protect your knee joint.","Glutes (gluteus maximus, gluteus mideus), Quadriceps (Quadriceps Femoris)","Core (Rectus Abdominis, Obliques), Inner Thighs (Adductors)",None (Bodyweight)
Bodyweight,Diagonal opens,"1. Stand with your feet shoulder-width apart, arms bent at the elbows, elbows facing outwards, and hands close to your chest.
2. Slide your right hand over your left forearm, both arms in an opposite diagonal direction while keeping the elbows bent.
3. Return your hands to the starting position and repeat the movement by sliding your left hand over your right forearm, extending in the opposite diagonal direction.","1. Ensure your movements are smooth and controlled to maintain tension and focus on muscle engagement.
2. Focus on maintaining a rhythmic breathing pattern, inhaling as you extend and exhaling as you return to the start position.
3. Maintain a slight tension in your core throughout the exercise to help stabilize your upper body.
","Upper Chest (Pectoralis Major, Clavicular Head), Shoulders (Deltoids)","Upper Back (Trapezius), Arms (Biceps Brachii, Triceps Brachii)",None
Bodyweight,Diagonal punch,"1. Stand with your feet shoulder-width apart, knees slightly bent, and hands in a guard position near your face.
2. Rotate your torso to the right, and extend your right arm in a diagonal punch across your body.
3. Return your right hand to the starting position as you rotate your torso back to center.
4. Repeat the motion with your left arm, rotating your torso to the left to execute a diagonal punch across your body.","1. Keep your hands up and elbows slightly bent when not punching to protect your face and maintain balance.
2. Rotate your hips and shoulders fully with each punch to maximize power and engage your core muscles.
3. Practice the punches slowly at first to ensure proper technique before increasing speed and power.
4. Exhale sharply with each punch to increase force and stabilize your core.","Chest (Pectoralis Major), Shoulders (Deltoids)","Arms (Biceps Brachii, Triceps Brachii)",None
Bodyweight,Diamond push up,"1. Begin in a plank position with your hands close together under your chest, fingers forming a diamond shape (thumbs and index fingers touching).
2. Lower your body towards the floor, keeping your elbows close to your body and your back straight.
3. Pause briefly as your chest nearly touches your hands.
4. Push back up to the starting plank position, maintaining a straight line from your head to your heels throughout the movement.","1. Ensure your elbows do not flare out; they should stay close to your body to maximize triceps engagement.
2. Control your descent and ascent to increase muscle tension and enhance strength gains.
3. Breathe in as you lower down and exhale forcefully as you push back up to help power the movement.
4. Keep your head in a neutral position, aligned with your spine, to avoid neck strain.
5. Perform the push-up at a slow to moderate pace to focus on form and muscle engagement without rushing.","Triceps (Triceps Brachii), Chest (Pectoralis Major)",Shoulders (Deltoids),None
Bodyweight,Diamond push-up (on knees),"1. Begin by kneeling on a mat with your hands close together under your chest on the floor, fingers forming a diamond shape (thumbs and index fingers touching).
2. Lean forward to shift your weight onto your hands while keeping your back straight and your core engaged.
3. Lower your chest towards the floor by bending your elbows, keeping them close to your body.
4. Press through your hands to lift your body back up to the starting position, maintaining the alignment of your spine throughout the movement.","1. Ensure your elbows point back rather than flaring out to the sides to maximize triceps activation and minimize shoulder strain.
2. Keep your head and neck in a neutral position, aligned with your spine, to avoid any unnecessary strain.
3. Breathe in as you lower yourself and exhale as you push back up, using your breath to help power the movement.","Triceps (Triceps Brachii), Chest (Pectoralis Major)",Shoulders (Deltoids),None
Bodyweight,Dip leg raise on couch,"1. Sit on the edge of a couch with your hands placed next to your hips, gripping the edge for support.
2. Lift your hips off the couch by pressing down into your hands and straightening your arms, while keeping your feet flat on the floor and both knees bent.
3. As you bend your elbows to lower your body into a dip, simultaneously lift one leg, bent at the knee, towards your chest.
4. Push through your hands to raise your body back up, straightening your arms and simultaneously lowering your lifted leg back to the starting position.","1. Ensure your grip on the couch is secure to maintain balance and control throughout the exercise.
2. Focus on a controlled, smooth motion both when lowering into the dip and lifting your body up to maximize muscle engagement.
3. Keep the movement of your arms and legs coordinated; as you push up, lower the leg, and vice versa. ",Triceps (Triceps Brachii),"Chest (Pectoralis Major), Hip Flexors (Iliopsoas)",Couch
Bodyweight,Dip on floor with chair,"1. Sit on the floor with your back facing a chair and place your hands on the edge of the chair seat, fingers pointing towards your body.
2. Bend your knees in front of you with your heels resting on the floor.
3. Press down into the chair with your hands to lift your hips off the floor, straightening your arms.
4. Bend your elbows to lower your body towards the floor until your elbows form about a 90-degree angle and push through your hands to lift your body back up to the starting position.","1. Ensure your hands are firmly placed on the chair and your fingers are well-aligned for a strong grip.
2. Keep your movements controlled and steady to engage the triceps effectively and avoid any jerky movements.
3. Avoid dipping too low to prevent shoulder strain; stopping at a 90-degree elbow angle is generally safe and effective.
",Triceps (Triceps Brachii),Shoulders (Deltoids),Chair
Bodyweight,Dips between chairs,"1. Position two chairs parallel to each other, slightly wider than shoulder-width apart, with the seats facing away from you.
2. Stand between the chairs and grasp the top of each chair back with your hands.
3. Lift your body off the floor by straightening your arms, supporting your weight through your hands.
4. Slowly lower your body by bending your elbows until they form about a 90-degree angle, keeping your body upright and close to the chair backs. Press through your hands to raise your body back to the starting position, extending your arms fully.","1. Check that the chairs are stable and strong enough to support your weight without tipping or moving.
2. Keep your movements controlled and steady, focusing on using your triceps to lift and lower your body.
3. Avoid locking your elbows at the top of the movement to keep tension on the muscles and protect your joints.","Chest (Pectoralis Major), Triceps (Triceps Brachii)",Shoulders (Deltoids),Chair
Bodyweight,Donkey calf raise,"1. Stand on the edge of a step with your heels hanging off, placing your forefeet securely on the step.
2. Lean forward and reach down to hold onto a bench in front of you for stability, keeping your back straight and hips aligned with your feet.
3. Press down through your forefeet to elevate your heels as high as possible, fully contracting your calf muscles.
4. Slowly lower your heels below the level of the step to maximize the stretch in your calves before the next lift.","1. Ensure your grip on the bench is secure to maintain balance and focus the effort on your calves.
2. Keep your back flat and avoid rounding your shoulders to prevent unnecessary strain on your back.
3. Emphasize the upward and downward movements equally to enhance muscle growth and strength in your calves.
4. Maintain a slow, controlled pace to increase the intensity of the muscle contraction and effectiveness of the exercise.","Calves (Gastrocnemius, Soleus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus)",None
